Frames,Deflection,time_stamp
2428,-5.375,1686761154716233728
2428,9.625,1686761154717228800
2432,-4.375,1686761154903475968
2432,7.625,1686761154903475968
2433,-4.375,1686761154947678208
2433,7.625,1686761154947678208
2749,-6.375,1686761169957224960
2749,6.625,1686761169957224960
2751,-6.375,1686761170051264000
2751,5.625,1686761170053260544
2758,-5.375,1686761170401494784
2758,9.625,1686761170402490880
2761,-5.375,1686761170558108160
2761,6.625,1686761170559104000
2774,-5.375,1686761171181278720
2774,6.625,1686761171181278720
2777,-4.375,1686761171323990784
2777,7.625,1686761171323990784
2781,-5.375,1686761171526481920
2781,6.625,1686761171527479552
2784,-4.375,1686761171667623680
2784,7.625,1686761171668621056
2786,-5.375,1686761171759895552
2786,9.625,1686761171760890880
2787,6.625,1686761171807768064
2787,-5.375,1686761171807768064
2790,-5.375,1686761171947540480
2790,6.625,1686761171948536320
2792,-5.375,1686761172040367360
2792,6.625,1686761172040367360
2798,-4.375,1686761172319596288
2798,10.625,1686761172320593920
2806,-7.375,1686761172696938240
2806,4.625,1686761172697882112
2808,-6.375,1686761172787202048
2808,6.625,1686761172788199680
2810,-7.375,1686761172882877952
2810,4.625,1686761172883874816
2814,-7.375,1686761173071216896
2814,4.625,1686761173071216896
2819,-7.375,1686761173307365888
2819,4.625,1686761173308361728
2820,-7.375,1686761173356090880
2820,4.625,1686761173357058304
2821,-7.375,1686761173403321344
2821,4.625,1686761173403321344
2831,4.625,1686761173873932288
2831,-6.375,1686761173873932288
2833,-7.375,1686761173965495552
2833,4.625,1686761173966493440
2834,-7.375,1686761174014032128
2834,4.625,1686761174015036672
2835,-7.375,1686761174060369408
2835,4.625,1686761174061367296
2838,-7.375,1686761174201696768
2838,4.625,1686761174201696768
2848,-7.375,1686761174668222720
2848,4.625,1686761174668222720
2849,-7.375,1686761174713387008
2849,4.625,1686761174713387008
2856,-7.375,1686761175047302656
2856,4.625,1686761175048305920
2859,-7.375,1686761175189253888
2859,4.625,1686761175189253888
2863,-7.375,1686761175379997184
2863,4.625,1686761175380962560
2865,-7.375,1686761175472483840
2865,4.625,1686761175473545216
2866,-8.375,1686761175523156480
2866,3.625,1686761175524134400
2992,-4.375,1686761181587950848
2992,8.625,1686761181589917696
2993,-5.375,1686761181635888640
2993,7.625,1686761181637164800
2995,5.625,1686761181729959424
2995,-6.375,1686761181729959424
3001,-4.375,1686761182015081472
3001,7.625,1686761182015081472
3002,-4.375,1686761182061613824
3002,7.625,1686761182061613824
3006,-5.375,1686761182248634112
3006,6.625,1686761182248634112
3008,-5.375,1686761182340294912
3008,6.625,1686761182340294912
3013,-5.375,1686761182572946176
3013,7.625,1686761182573951488
3015,-5.375,1686761182666430976
3015,6.625,1686761182667427584
3025,-4.375,1686761183141515264
3025,7.625,1686761183142513408
3037,-5.375,1686761183716784128
3037,9.625,1686761183717719552
3040,-4.375,1686761183853138944
3040,6.625,1686761183854276352
3047,-5.375,1686761184178286080
3047,9.625,1686761184180276736
3053,5.625,1686761184458724096
3053,-6.375,1686761184458724096
3060,-7.375,1686761184787399424
3060,4.625,1686761184788394752
3065,-7.375,1686761185023494912
3065,4.625,1686761185023887360
3066,-7.375,1686761185069929728
3066,4.625,1686761185069929728
3067,-7.375,1686761185116099584
3067,4.625,1686761185117141760
3069,-7.375,1686761185212167936
3069,4.625,1686761185213874432
3079,-7.375,1686761185688602624
3079,7.625,1686761185689598720
3085,4.625,1686761185968110592
3085,-6.375,1686761185969082624
3089,-7.375,1686761186157553408
3089,4.625,1686761186158498048
3090,-7.375,1686761186205687808
3090,4.625,1686761186205687808
3091,-7.375,1686761186253395712
3091,4.625,1686761186253395712
3093,-7.375,1686761186349758208
3093,4.625,1686761186350506240
3094,-7.375,1686761186394200064
3094,4.625,1686761186395153408
3096,-7.375,1686761186489115904
3096,4.625,1686761186490113024
3097,-7.375,1686761186535361792
3097,4.625,1686761186536569088
3099,-7.375,1686761186629462016
3099,4.625,1686761186629462016
3100,-7.375,1686761186675757056
3100,4.625,1686761186676754688
3105,-7.375,1686761186913378816
3105,4.625,1686761186913378816
3111,-12.375,1686761187196365312
3111,1.625,1686761187197361920
3236,-5.375,1686761193128002816
3236,7.625,1686761193128002816
3238,6.625,1686761193224090112
3238,-5.375,1686761193225123584
3239,-7.375,1686761193283959808
3239,4.625,1686761193285101824
3242,-5.375,1686761193433784320
3242,6.625,1686761193433784320
3252,-5.375,1686761193903980800
3252,6.625,1686761193905313024
3253,-4.375,1686761193950768128
3253,7.625,1686761193951775232
3254,-4.375,1686761193998409728
3254,7.625,1686761193998409728
3258,-6.375,1686761194183538432
3258,8.625,1686761194183538432
3263,-5.375,1686761194417018112
3263,6.625,1686761194417018112
3264,-5.375,1686761194466434048
3264,6.625,1686761194466434048
3267,-4.375,1686761194610771200
3267,7.625,1686761194610771200
3271,-5.375,1686761194799688704
3271,6.625,1686761194800642304
3272,-5.375,1686761194846708224
3272,6.625,1686761194847695872
3279,-5.375,1686761195188235776
3279,6.625,1686761195188235776
3284,-5.375,1686761195421006080
3284,7.625,1686761195421956352
3285,-5.375,1686761195469827584
3285,10.625,1686761195470821120
3289,-5.375,1686761195664321024
3289,6.625,1686761195665270272
3294,-6.375,1686761195910068736
3294,5.625,1686761195911065344
3296,-7.375,1686761196001180416
3296,7.625,1686761196002169600
3299,-7.375,1686761196143321600
3299,4.625,1686761196144313856
3300,-7.375,1686761196187735552
3300,4.625,1686761196188729344
3301,-7.375,1686761196234248192
3301,7.625,1686761196235245824
3304,-7.375,1686761196377509888
3304,7.625,1686761196377509888
3306,-7.375,1686761196470302720
